,Interface,IPs,Remote_Interface,Remote_IPs
0,switch1[Vlan100],['192.168.1.2'],switch2[Vlan100],['192.168.1.3']
1,switch1[Vlan200],['192.168.1.2'],switch2[Vlan200],['192.168.1.3']
2,switch2[Vlan200],['192.168.1.3'],switch1[Vlan200],['192.168.1.2']
3,switch1[Vlan200],['192.168.1.2'],host23[eth0],['192.168.1.103']
4,switch2[Vlan200],['192.168.1.3'],host22[eth0],['192.168.1.102']
5,host14[eth0],['192.168.1.104'],switch1[Vlan100],['192.168.1.2']
6,host22[eth0],['192.168.1.102'],host23[eth0],['192.168.1.103']
7,switch1[Vlan200],['192.168.1.2'],host22[eth0],['192.168.1.102']
8,host14[eth0],['192.168.1.104'],switch2[Vlan100],['192.168.1.3']
9,host23[eth0],['192.168.1.103'],host21[eth0],['192.168.1.101']
10,switch2[Vlan200],['192.168.1.3'],host24[eth0],['192.168.1.104']
11,host22[eth0],['192.168.1.102'],host21[eth0],['192.168.1.101']
12,switch1[Vlan200],['192.168.1.2'],host24[eth0],['192.168.1.104']
13,host21[eth0],['192.168.1.101'],host23[eth0],['192.168.1.103']
14,host24[eth0],['192.168.1.104'],host22[eth0],['192.168.1.102']
15,host12[eth0],['192.168.1.102'],switch1[Vlan100],['192.168.1.2']
16,host23[eth0],['192.168.1.103'],host24[eth0],['192.168.1.104']
17,host24[eth0],['192.168.1.104'],host23[eth0],['192.168.1.103']
18,host11[eth0],['192.168.1.101'],switch1[Vlan100],['192.168.1.2']
19,host12[eth0],['192.168.1.102'],switch2[Vlan100],['192.168.1.3']
20,host22[eth0],['192.168.1.102'],host24[eth0],['192.168.1.104']
21,host11[eth0],['192.168.1.101'],switch2[Vlan100],['192.168.1.3']
22,host23[eth0],['192.168.1.103'],host22[eth0],['192.168.1.102']
23,host24[eth0],['192.168.1.104'],host21[eth0],['192.168.1.101']
24,host13[eth0],['192.168.1.103'],host11[eth0],['192.168.1.101']
25,host13[eth0],['192.168.1.103'],host12[eth0],['192.168.1.102']
26,host14[eth0],['192.168.1.104'],host11[eth0],['192.168.1.101']
27,switch2[Vlan200],['192.168.1.3'],host21[eth0],['192.168.1.101']
28,switch1[Vlan200],['192.168.1.2'],host21[eth0],['192.168.1.101']
29,host13[eth0],['192.168.1.103'],host14[eth0],['192.168.1.104']
30,switch2[Vlan200],['192.168.1.3'],host23[eth0],['192.168.1.103']
31,switch1[Vlan100],['192.168.1.2'],host12[eth0],['192.168.1.102']
32,switch2[Vlan100],['192.168.1.3'],host13[eth0],['192.168.1.103']
33,switch1[Vlan100],['192.168.1.2'],host11[eth0],['192.168.1.101']
34,switch2[Vlan100],['192.168.1.3'],host12[eth0],['192.168.1.102']
35,switch1[Vlan100],['192.168.1.2'],host14[eth0],['192.168.1.104']
36,switch2[Vlan100],['192.168.1.3'],host11[eth0],['192.168.1.101']
37,switch2[Vlan100],['192.168.1.3'],host14[eth0],['192.168.1.104']
38,switch1[Vlan100],['192.168.1.2'],host13[eth0],['192.168.1.103']
39,host11[eth0],['192.168.1.101'],host12[eth0],['192.168.1.102']
40,host12[eth0],['192.168.1.102'],host13[eth0],['192.168.1.103']
41,host11[eth0],['192.168.1.101'],host13[eth0],['192.168.1.103']
42,host14[eth0],['192.168.1.104'],host12[eth0],['192.168.1.102']
43,host14[eth0],['192.168.1.104'],host13[eth0],['192.168.1.103']
44,host12[eth0],['192.168.1.102'],host14[eth0],['192.168.1.104']
45,host11[eth0],['192.168.1.101'],host14[eth0],['192.168.1.104']
46,host12[eth0],['192.168.1.102'],host11[eth0],['192.168.1.101']
47,host21[eth0],['192.168.1.101'],host24[eth0],['192.168.1.104']
48,host21[eth0],['192.168.1.101'],host22[eth0],['192.168.1.102']
49,host13[eth0],['192.168.1.103'],switch1[Vlan100],['192.168.1.2']
50,host13[eth0],['192.168.1.103'],switch2[Vlan100],['192.168.1.3']
51,host21[eth0],['192.168.1.101'],switch1[Vlan200],['192.168.1.2']
52,host21[eth0],['192.168.1.101'],switch2[Vlan200],['192.168.1.3']
53,host24[eth0],['192.168.1.104'],switch1[Vlan200],['192.168.1.2']
54,host24[eth0],['192.168.1.104'],switch2[Vlan200],['192.168.1.3']
55,switch2[Vlan100],['192.168.1.3'],switch1[Vlan100],['192.168.1.2']
56,host23[eth0],['192.168.1.103'],switch1[Vlan200],['192.168.1.2']
57,host22[eth0],['192.168.1.102'],switch1[Vlan200],['192.168.1.2']
58,host23[eth0],['192.168.1.103'],switch2[Vlan200],['192.168.1.3']
59,host22[eth0],['192.168.1.102'],switch2[Vlan200],['192.168.1.3']
