,Interface,Remote_Interface
0,host13[eth0],switch2[GigabitEthernet1/0/3]
1,host14[eth0],switch2[GigabitEthernet1/0/4]
2,host22[eth0],switch1[GigabitEthernet1/0/6]
3,switch2[GigabitEthernet1/0/4],host14[eth0]
4,host23[eth0],switch2[GigabitEthernet1/0/7]
5,switch2[GigabitEthernet1/0/23],switch1[GigabitEthernet1/0/23]
6,switch2[GigabitEthernet1/0/8],host24[eth0]
7,switch1[GigabitEthernet1/0/6],host22[eth0]
8,host21[eth0],switch1[GigabitEthernet1/0/5]
9,switch2[GigabitEthernet1/0/24],switch1[GigabitEthernet1/0/24]
10,switch2[GigabitEthernet1/0/7],host23[eth0]
11,switch1[GigabitEthernet1/0/23],switch2[GigabitEthernet1/0/23]
12,switch1[GigabitEthernet1/0/24],switch2[GigabitEthernet1/0/24]
13,host11[eth0],switch1[GigabitEthernet1/0/1]
14,host12[eth0],switch1[GigabitEthernet1/0/2]
15,host24[eth0],switch2[GigabitEthernet1/0/8]
16,switch1[GigabitEthernet1/0/5],host21[eth0]
17,switch2[GigabitEthernet1/0/3],host13[eth0]
18,switch1[GigabitEthernet1/0/1],host11[eth0]
19,switch1[GigabitEthernet1/0/2],host12[eth0]
