,Interface,Remote_Interface
0,host13[eth0],switch2[GigabitEthernet1/0/3]
1,host14[eth0],switch2[GigabitEthernet1/0/4]
2,switch2[GigabitEthernet1/0/11],router1[FastEthernet1/1]
3,host22[eth0],switch1[GigabitEthernet1/0/6]
4,switch2[GigabitEthernet1/0/4],host14[eth0]
5,switch1[Port-channel1],switch2[Port-channel1]
6,switch2[Port-channel1],switch1[Port-channel1]
7,host23[eth0],switch2[GigabitEthernet1/0/7]
8,switch2[GigabitEthernet1/0/8],host24[eth0]
9,switch1[GigabitEthernet1/0/6],host22[eth0]
10,router1[FastEthernet1/1],switch2[GigabitEthernet1/0/11]
11,host21[eth0],switch1[GigabitEthernet1/0/5]
12,switch1[GigabitEthernet1/0/11],router1[FastEthernet1/0]
13,switch2[GigabitEthernet1/0/7],host23[eth0]
14,host11[eth0],switch1[GigabitEthernet1/0/1]
15,host12[eth0],switch1[GigabitEthernet1/0/2]
16,host24[eth0],switch2[GigabitEthernet1/0/8]
17,switch1[GigabitEthernet1/0/5],host21[eth0]
18,switch2[GigabitEthernet1/0/3],host13[eth0]
19,router1[FastEthernet1/0],switch1[GigabitEthernet1/0/11]
20,switch1[GigabitEthernet1/0/1],host11[eth0]
21,switch1[GigabitEthernet1/0/2],host12[eth0]
