,Interface,IPs,Remote_Interface,Remote_IPs
0,host21[eth0],['192.168.2.101'],host23[eth0],['192.168.2.103']
1,host21[eth0],['192.168.2.101'],host24[eth0],['192.168.2.104']
2,host24[eth0],['192.168.2.104'],host23[eth0],['192.168.2.103']
3,switch1[Vlan100],['192.168.1.2'],switch2[Vlan100],['192.168.1.3']
4,host21[eth0],['192.168.2.101'],host22[eth0],['192.168.2.102']
5,switch1[GigabitEthernet1/0/11],['10.0.1.2'],router1[FastEthernet1/0],['10.0.1.1']
6,router1[FastEthernet1/0],['10.0.1.1'],switch1[GigabitEthernet1/0/11],['10.0.1.2']
7,switch1[Vlan100],['192.168.1.2'],host13[eth0],['192.168.1.103']
8,host14[eth0],['192.168.1.104'],switch1[Vlan100],['192.168.1.2']
9,host11[eth0],['192.168.1.101'],host12[eth0],['192.168.1.102']
10,host12[eth0],['192.168.1.102'],host13[eth0],['192.168.1.103']
11,host14[eth0],['192.168.1.104'],switch2[Vlan100],['192.168.1.3']
12,host11[eth0],['192.168.1.101'],host13[eth0],['192.168.1.103']
13,host14[eth0],['192.168.1.104'],host12[eth0],['192.168.1.102']
14,host12[eth0],['192.168.1.102'],switch1[Vlan100],['192.168.1.2']
15,host14[eth0],['192.168.1.104'],host13[eth0],['192.168.1.103']
16,host11[eth0],['192.168.1.101'],switch1[Vlan100],['192.168.1.2']
17,host12[eth0],['192.168.1.102'],switch2[Vlan100],['192.168.1.3']
18,host12[eth0],['192.168.1.102'],host14[eth0],['192.168.1.104']
19,host11[eth0],['192.168.1.101'],switch2[Vlan100],['192.168.1.3']
20,host11[eth0],['192.168.1.101'],host14[eth0],['192.168.1.104']
21,host12[eth0],['192.168.1.102'],host11[eth0],['192.168.1.101']
22,host13[eth0],['192.168.1.103'],host11[eth0],['192.168.1.101']
23,switch2[GigabitEthernet1/0/11],['10.0.2.2'],router1[FastEthernet1/1],['10.0.2.1']
24,host13[eth0],['192.168.1.103'],host12[eth0],['192.168.1.102']
25,host14[eth0],['192.168.1.104'],host11[eth0],['192.168.1.101']
26,router1[FastEthernet1/1],['10.0.2.1'],switch2[GigabitEthernet1/0/11],['10.0.2.2']
27,host13[eth0],['192.168.1.103'],switch1[Vlan100],['192.168.1.2']
28,host23[eth0],['192.168.2.103'],host21[eth0],['192.168.2.101']
29,host13[eth0],['192.168.1.103'],switch2[Vlan100],['192.168.1.3']
30,host13[eth0],['192.168.1.103'],host14[eth0],['192.168.1.104']
31,switch1[Vlan100],['192.168.1.2'],host12[eth0],['192.168.1.102']
32,switch2[Vlan100],['192.168.1.3'],host13[eth0],['192.168.1.103']
33,host23[eth0],['192.168.2.103'],host24[eth0],['192.168.2.104']
34,switch1[Vlan100],['192.168.1.2'],host11[eth0],['192.168.1.101']
35,switch2[Vlan100],['192.168.1.3'],host12[eth0],['192.168.1.102']
36,switch1[Vlan100],['192.168.1.2'],host14[eth0],['192.168.1.104']
37,switch2[Vlan100],['192.168.1.3'],host11[eth0],['192.168.1.101']
38,host22[eth0],['192.168.2.102'],host21[eth0],['192.168.2.101']
39,host23[eth0],['192.168.2.103'],host22[eth0],['192.168.2.102']
40,switch2[Vlan100],['192.168.1.3'],host14[eth0],['192.168.1.104']
41,host24[eth0],['192.168.2.104'],host22[eth0],['192.168.2.102']
42,switch2[Vlan100],['192.168.1.3'],switch1[Vlan100],['192.168.1.2']
43,host22[eth0],['192.168.2.102'],host23[eth0],['192.168.2.103']
44,host22[eth0],['192.168.2.102'],host24[eth0],['192.168.2.104']
45,host24[eth0],['192.168.2.104'],host21[eth0],['192.168.2.101']
