,Interface,Remote_Interface
0,switch2[GigabitEthernet1/0/11],router1[FastEthernet1/1]
1,switch2[GigabitEthernet1/0/4],host14[eth0]
2,switch1[Port-channel1],switch2[Port-channel1]
3,switch2[Port-channel1],switch1[Port-channel1]
4,host33[eth0],switch2[GigabitEthernet1/0/9]
5,switch2[GigabitEthernet1/0/8],host24[eth0]
6,switch1[GigabitEthernet1/0/6],host22[eth0]
7,router1[FastEthernet1/1],switch2[GigabitEthernet1/0/11]
8,switch1[GigabitEthernet1/0/11],router1[FastEthernet1/0]
9,switch2[GigabitEthernet1/0/7],host23[eth0]
10,host11[eth0],switch1[GigabitEthernet1/0/1]
11,host12[eth0],switch1[GigabitEthernet1/0/2]
12,host31[eth0],switch1[GigabitEthernet1/0/9]
13,switch1[GigabitEthernet1/0/5],host21[eth0]
14,router1[FastEthernet1/0],switch1[GigabitEthernet1/0/11]
15,host13[eth0],switch2[GigabitEthernet1/0/3]
16,host14[eth0],switch2[GigabitEthernet1/0/4]
17,host22[eth0],switch1[GigabitEthernet1/0/6]
18,host23[eth0],switch2[GigabitEthernet1/0/7]
19,host21[eth0],switch1[GigabitEthernet1/0/5]
20,switch2[GigabitEthernet1/0/9],host33[eth0]
21,host24[eth0],switch2[GigabitEthernet1/0/8]
22,switch2[GigabitEthernet1/0/3],host13[eth0]
23,switch1[GigabitEthernet1/0/1],host11[eth0]
24,switch1[GigabitEthernet1/0/2],host12[eth0]
25,switch1[GigabitEthernet1/0/9],host31[eth0]
