,Interface,IPs,Remote_Interface,Remote_IPs
0,switch1[Vlan100],['192.168.1.2'],switch2[Vlan100],['192.168.1.3']
1,switch2[Vlan200],['192.168.2.3'],switch1[Vlan200],['192.168.2.102']
2,host33[eth0],['192.168.201.103'],switch2[Vlan201],['192.168.201.3']
3,switch1[GigabitEthernet1/0/11],['10.0.1.2'],router1[FastEthernet1/0],['10.0.1.1']
4,router1[FastEthernet1/0],['10.0.1.1'],switch1[GigabitEthernet1/0/11],['10.0.1.2']
5,switch1[Vlan200],['192.168.2.102'],switch2[Vlan200],['192.168.2.3']
6,host14[eth0],['192.168.1.104'],switch1[Vlan100],['192.168.1.2']
7,switch1[Vlan200],['192.168.2.102'],host23[eth0],['192.168.2.103']
8,host14[eth0],['192.168.1.104'],switch2[Vlan100],['192.168.1.3']
9,host12[eth0],['192.168.1.102'],switch1[Vlan100],['192.168.1.2']
10,host11[eth0],['192.168.1.101'],switch1[Vlan100],['192.168.1.2']
11,host12[eth0],['192.168.1.102'],switch2[Vlan100],['192.168.1.3']
12,host11[eth0],['192.168.1.101'],switch2[Vlan100],['192.168.1.3']
13,host13[eth0],['192.168.1.103'],host11[eth0],['192.168.1.101']
14,host13[eth0],['192.168.1.103'],host12[eth0],['192.168.1.102']
15,host21[eth0],['192.168.2.101'],switch1[Vlan200],['192.168.2.102']
16,host21[eth0],['192.168.2.101'],switch2[Vlan200],['192.168.2.3']
17,host14[eth0],['192.168.1.104'],host11[eth0],['192.168.1.101']
18,switch1[Vlan200],['192.168.2.102'],host21[eth0],['192.168.2.101']
19,host23[eth0],['192.168.2.103'],host21[eth0],['192.168.2.101']
20,host13[eth0],['192.168.1.103'],host14[eth0],['192.168.1.104']
21,host22[eth0],['192.168.2.102'],switch2[Vlan200],['192.168.2.3']
22,switch1[Vlan100],['192.168.1.2'],host12[eth0],['192.168.1.102']
23,switch2[Vlan100],['192.168.1.3'],host13[eth0],['192.168.1.103']
24,switch1[Vlan100],['192.168.1.2'],host11[eth0],['192.168.1.101']
25,switch2[Vlan100],['192.168.1.3'],host12[eth0],['192.168.1.102']
26,host23[eth0],['192.168.2.103'],switch1[Vlan200],['192.168.2.102']
27,host23[eth0],['192.168.2.103'],switch2[Vlan200],['192.168.2.3']
28,switch1[Vlan100],['192.168.1.2'],host14[eth0],['192.168.1.104']
29,switch2[Vlan100],['192.168.1.3'],host11[eth0],['192.168.1.101']
30,host22[eth0],['192.168.2.102'],host21[eth0],['192.168.2.101']
31,host23[eth0],['192.168.2.103'],host22[eth0],['192.168.2.102']
32,switch2[Vlan100],['192.168.1.3'],host14[eth0],['192.168.1.104']
33,host22[eth0],['192.168.2.102'],host23[eth0],['192.168.2.103']
34,host21[eth0],['192.168.2.101'],host23[eth0],['192.168.2.103']
35,host21[eth0],['192.168.2.101'],host22[eth0],['192.168.2.102']
36,switch1[Vlan100],['192.168.1.2'],host13[eth0],['192.168.1.103']
37,host11[eth0],['192.168.1.101'],host12[eth0],['192.168.1.102']
38,host12[eth0],['192.168.1.102'],host13[eth0],['192.168.1.103']
39,host11[eth0],['192.168.1.101'],host13[eth0],['192.168.1.103']
40,host14[eth0],['192.168.1.104'],host12[eth0],['192.168.1.102']
41,switch2[Vlan200],['192.168.2.3'],host21[eth0],['192.168.2.101']
42,host14[eth0],['192.168.1.104'],host13[eth0],['192.168.1.103']
43,host12[eth0],['192.168.1.102'],host14[eth0],['192.168.1.104']
44,host11[eth0],['192.168.1.101'],host14[eth0],['192.168.1.104']
45,host12[eth0],['192.168.1.102'],host11[eth0],['192.168.1.101']
46,switch2[GigabitEthernet1/0/11],['10.0.2.2'],router1[FastEthernet1/1],['10.0.2.1']
47,switch2[Vlan200],['192.168.2.3'],host22[eth0],['192.168.2.102']
48,switch2[Vlan200],['192.168.2.3'],host23[eth0],['192.168.2.103']
49,router1[FastEthernet1/1],['10.0.2.1'],switch2[GigabitEthernet1/0/11],['10.0.2.2']
50,host13[eth0],['192.168.1.103'],switch1[Vlan100],['192.168.1.2']
51,host13[eth0],['192.168.1.103'],switch2[Vlan100],['192.168.1.3']
52,switch2[Vlan201],['192.168.201.3'],host33[eth0],['192.168.201.103']
53,switch2[Vlan100],['192.168.1.3'],switch1[Vlan100],['192.168.1.2']
