,Interface,Access_VLAN,Allowed_VLANs,Channel_Group,Channel_Group_Members,Description,Primary_Address,Switchport,Switchport_Mode,VRF
0,host11[eth0],,,,[],,192.168.1.101/24,False,NONE,default
1,host12[eth0],,,,[],,192.168.1.102/24,False,NONE,default
2,host13[eth0],,,,[],,192.168.1.103/24,False,NONE,default
3,host14[eth0],,,,[],,192.168.1.104/24,False,NONE,default
4,host21[eth0],,,,[],,192.168.2.101/24,False,NONE,default
5,host22[eth0],,,,[],,192.168.2.102/24,False,NONE,default
6,host23[eth0],,,,[],,192.168.2.103/24,False,NONE,default
7,host24[eth0],,,,[],,192.168.2.104/24,False,NONE,default
8,host31[eth0],,,,[],,192.168.201.101/24,False,NONE,default
9,host33[eth0],,,,[],,192.168.201.103/24,False,NONE,default
10,router1[FastEthernet0/0],,,,[],,,False,NONE,default
11,router1[FastEthernet1/0],,,,[],,10.0.1.1/24,False,NONE,default
12,router1[FastEthernet1/1],,,,[],,10.0.2.1/24,False,NONE,default
13,router1[Loopback0],,,,[],,,False,NONE,default
14,switch1[GigabitEthernet1/0/1],100,,,[],,,True,ACCESS,default
15,switch1[GigabitEthernet1/0/2],100,,,[],,,True,ACCESS,default
16,switch1[GigabitEthernet1/0/3],100,,,[],,,True,ACCESS,default
17,switch1[GigabitEthernet1/0/4],100,,,[],,,True,ACCESS,default
18,switch1[GigabitEthernet1/0/5],200,,,[],,,True,ACCESS,default
19,switch1[GigabitEthernet1/0/6],200,,,[],,,True,ACCESS,default
20,switch1[GigabitEthernet1/0/7],200,,,[],,,True,ACCESS,default
21,switch1[GigabitEthernet1/0/8],200,,,[],,,True,ACCESS,default
22,switch1[GigabitEthernet1/0/9],201,,,[],,,True,ACCESS,default
23,switch1[GigabitEthernet1/0/10],,,,[],,,False,NONE,default
24,switch1[GigabitEthernet1/0/11],,,,[],,10.0.1.2/24,False,NONE,default
25,switch1[GigabitEthernet1/0/12],,,,[],,,False,NONE,default
26,switch1[GigabitEthernet1/0/13],,,,[],,,False,NONE,default
27,switch1[GigabitEthernet1/0/14],,,,[],,,False,NONE,default
28,switch1[GigabitEthernet1/0/15],,,,[],,,False,NONE,default
29,switch1[GigabitEthernet1/0/16],,,,[],,,False,NONE,default
30,switch1[GigabitEthernet1/0/17],,,,[],,,False,NONE,default
31,switch1[GigabitEthernet1/0/18],,,,[],,,False,NONE,default
32,switch1[GigabitEthernet1/0/19],,,,[],,,False,NONE,default
33,switch1[GigabitEthernet1/0/20],,,,[],,,False,NONE,default
34,switch1[GigabitEthernet1/0/21],,,,[],,,False,NONE,default
35,switch1[GigabitEthernet1/0/22],,,,[],,,False,NONE,default
36,switch1[GigabitEthernet1/0/23],,"100,200",Port-channel1,[],,,True,TRUNK,default
37,switch1[GigabitEthernet1/0/24],,"100,200",Port-channel1,[],,,True,TRUNK,default
38,switch1[Port-channel1],,"100,200-201",,"['GigabitEthernet1/0/23', 'GigabitEthernet1/0/24']",,,True,TRUNK,default
39,switch1[Vlan1],,,,[],,,False,NONE,default
40,switch1[Vlan100],,,,[],,192.168.1.2/24,False,NONE,default
41,switch1[Vlan200],,,,[],,192.168.2.102/24,False,NONE,testvrf
42,switch2[GigabitEthernet1/0/1],100,,,[],,,True,ACCESS,default
43,switch2[GigabitEthernet1/0/2],100,,,[],,,True,ACCESS,default
44,switch2[GigabitEthernet1/0/3],100,,,[],,,True,ACCESS,default
45,switch2[GigabitEthernet1/0/4],100,,,[],,,True,ACCESS,default
46,switch2[GigabitEthernet1/0/5],200,,,[],,,True,ACCESS,default
47,switch2[GigabitEthernet1/0/6],200,,,[],,,True,ACCESS,default
48,switch2[GigabitEthernet1/0/7],200,,,[],,,True,ACCESS,default
49,switch2[GigabitEthernet1/0/8],199,,,[],,,True,ACCESS,default
50,switch2[GigabitEthernet1/0/9],201,,,[],,,True,ACCESS,default
51,switch2[GigabitEthernet1/0/10],,,,[],,,False,NONE,default
52,switch2[GigabitEthernet1/0/11],,,,[],,10.0.2.2/24,False,NONE,default
53,switch2[GigabitEthernet1/0/12],,,,[],,,False,NONE,default
54,switch2[GigabitEthernet1/0/13],,,,[],,,False,NONE,default
55,switch2[GigabitEthernet1/0/14],,,,[],,,False,NONE,default
56,switch2[GigabitEthernet1/0/15],,,,[],,,False,NONE,default
57,switch2[GigabitEthernet1/0/16],,,,[],,,False,NONE,default
58,switch2[GigabitEthernet1/0/17],,,,[],,,False,NONE,default
59,switch2[GigabitEthernet1/0/18],,,,[],,,False,NONE,default
60,switch2[GigabitEthernet1/0/19],,,,[],,,False,NONE,default
61,switch2[GigabitEthernet1/0/20],,,,[],,,False,NONE,default
62,switch2[GigabitEthernet1/0/21],,,,[],,,False,NONE,default
63,switch2[GigabitEthernet1/0/22],,,,[],,,False,NONE,default
64,switch2[GigabitEthernet1/0/23],,"100,200",Port-channel1,[],,,True,TRUNK,default
65,switch2[GigabitEthernet1/0/24],,"100,200",Port-channel1,[],,,True,TRUNK,default
66,switch2[Port-channel1],,"100,200",,"['GigabitEthernet1/0/23', 'GigabitEthernet1/0/24']",,,True,TRUNK,default
67,switch2[Vlan1],,,,[],,,False,NONE,default
68,switch2[Vlan100],,,,[],,192.168.1.3/24,False,NONE,default
69,switch2[Vlan200],,,,[],,192.168.2.3/24,False,NONE,testvrf
70,switch2[Vlan201],,,,[],,192.168.201.3/24,False,NONE,testvrf
