,Interface,Remote_Interface
0,regionb-pe01[ge-0/0/0],regiona-pe01[GigabitEthernet0/0/0/0]
1,regiona-pe01[GigabitEthernet0/0/0/0],regionb-pe01[ge-0/0/0]
2,regionb-pe01[ge-0/0/1],regionb-pe02[ge-0/0/1]
3,regionb-pe02[ge-0/0/1],regionb-pe01[ge-0/0/1]
4,regionb-pe01[ge-0/0/2],regionb-ce01[ge-0/0/0]
5,regionb-ce01[ge-0/0/0],regionb-pe01[ge-0/0/2]
6,regionb-pe01[ge-0/0/3],regionb-ce02[ge-0/0/0]
7,regionb-ce02[ge-0/0/0],regionb-pe01[ge-0/0/3]
8,regionb-ce02[ge-0/0/1],regionb-pe02[ge-0/0/3]
9,regionb-pe02[ge-0/0/3],regionb-ce02[ge-0/0/1]
10,regionb-ce02[ge-0/0/2],regionb-ce01[ge-0/0/2]
11,regionb-ce01[ge-0/0/2],regionb-ce02[ge-0/0/2]
12,regionb-ce02[ge-0/0/3],regionb-ce01[ge-0/0/3]
13,regionb-ce01[ge-0/0/3],regionb-ce02[ge-0/0/3]
14,regionb-ce02[ge-0/0/4],regionb-acc01[Ethernet3]
15,regionb-acc01[Ethernet3],regionb-ce02[ge-0/0/4]
16,regionb-ce02[ge-0/0/5],regionb-acc01[Ethernet4]
17,regionb-acc01[Ethernet4],regionb-ce02[ge-0/0/5]
18,regionb-ce02[ge-0/0/6],regionb-acc02[Ethernet3]
19,regionb-acc02[Ethernet3],regionb-ce02[ge-0/0/6]
20,regionb-ce02[ge-0/0/7],regionb-acc02[Ethernet4]
21,regionb-acc02[Ethernet4],regionb-ce02[ge-0/0/7]
22,regionb-acc02[Ethernet1],regionb-ce01[ge-0/0/6]
23,regionb-ce01[ge-0/0/6],regionb-acc02[Ethernet1]
24,regionb-acc02[Ethernet2],regionb-ce01[ge-0/0/7]
25,regionb-ce01[ge-0/0/7],regionb-acc02[Ethernet2]
26,regionb-acc02[Ethernet5],regionb-svr02[Ethernet1]
27,regionb-svr02[Ethernet1],regionb-acc02[Ethernet5]
28,regionb-acc02[Ethernet6],regionb-svr02[Ethernet2]
29,regionb-svr02[Ethernet2],regionb-acc02[Ethernet6]
30,regionb-acc01[Ethernet1],regionb-ce01[ge-0/0/4]
31,regionb-ce01[ge-0/0/4],regionb-acc01[Ethernet1]
32,regionb-acc01[Ethernet2],regionb-ce01[ge-0/0/5]
33,regionb-ce01[ge-0/0/5],regionb-acc01[Ethernet2]
34,regionb-acc01[Ethernet5],regionb-svr01[Ethernet1]
35,regionb-svr01[Ethernet1],regionb-acc01[Ethernet5]
36,regionb-acc01[Ethernet6],regionb-svr01[Ethernet2]
37,regionb-svr01[Ethernet2],regionb-acc01[Ethernet6]
38,regionb-ce01[ge-0/0/1],regionb-pe02[ge-0/0/2]
39,regionb-pe02[ge-0/0/2],regionb-ce01[ge-0/0/1]
40,regionb-pe02[ge-0/0/0],regiona-pe02[GigabitEthernet0/0/0/0]
41,regiona-pe02[GigabitEthernet0/0/0/0],regionb-pe02[ge-0/0/0]
42,regiona-pe02[GigabitEthernet0/0/0/1],regiona-pe01[GigabitEthernet0/0/0/1]
43,regiona-pe01[GigabitEthernet0/0/0/1],regiona-pe02[GigabitEthernet0/0/0/1]
44,regiona-pe02[GigabitEthernet0/0/0/2],regiona-ce01[Ethernet2]
45,regiona-ce01[Ethernet2],regiona-pe02[GigabitEthernet0/0/0/2]
46,regiona-pe02[GigabitEthernet0/0/0/3],regiona-ce02[Ethernet2]
47,regiona-ce02[Ethernet2],regiona-pe02[GigabitEthernet0/0/0/3]
48,regiona-ce02[Ethernet1],regiona-pe01[GigabitEthernet0/0/0/3]
49,regiona-pe01[GigabitEthernet0/0/0/3],regiona-ce02[Ethernet1]
50,regiona-ce02[Ethernet3],regiona-ce01[Ethernet3]
51,regiona-ce01[Ethernet3],regiona-ce02[Ethernet3]
52,regiona-ce02[Ethernet4],regiona-ce01[Ethernet4]
53,regiona-ce01[Ethernet4],regiona-ce02[Ethernet4]
54,regiona-ce02[Ethernet5],regiona-acc01[Ethernet3]
55,regiona-acc01[Ethernet3],regiona-ce02[Ethernet5]
56,regiona-ce02[Ethernet6],regiona-acc01[Ethernet4]
57,regiona-acc01[Ethernet4],regiona-ce02[Ethernet6]
58,regiona-ce02[Ethernet7],regiona-acc01[Ethernet7]
59,regiona-acc01[Ethernet7],regiona-ce02[Ethernet7]
60,regiona-ce02[Ethernet8],regiona-acc01[Ethernet8]
61,regiona-acc01[Ethernet8],regiona-ce02[Ethernet8]
62,regiona-acc01[Ethernet1],regiona-ce01[Ethernet5]
63,regiona-ce01[Ethernet5],regiona-acc01[Ethernet1]
64,regiona-acc01[Ethernet2],regiona-ce01[Ethernet6]
65,regiona-ce01[Ethernet6],regiona-acc01[Ethernet2]
66,regiona-acc01[Ethernet5],regiona-ce01[Ethernet7]
67,regiona-ce01[Ethernet7],regiona-acc01[Ethernet5]
68,regiona-acc01[Ethernet6],regiona-ce01[Ethernet8]
69,regiona-ce01[Ethernet8],regiona-acc01[Ethernet6]
70,regiona-acc01[Ethernet9],regiona-svr01[Ethernet1]
71,regiona-svr01[Ethernet1],regiona-acc01[Ethernet9]
72,regiona-acc01[Ethernet10],regiona-svr01[Ethernet2]
73,regiona-svr01[Ethernet2],regiona-acc01[Ethernet10]
74,regiona-acc01[Ethernet11],regiona-svr02[Ethernet1]
75,regiona-svr02[Ethernet1],regiona-acc01[Ethernet11]
76,regiona-acc01[Ethernet12],regiona-svr02[Ethernet2]
77,regiona-svr02[Ethernet2],regiona-acc01[Ethernet12]
78,regiona-ce01[Ethernet1],regiona-pe01[GigabitEthernet0/0/0/2]
79,regiona-pe01[GigabitEthernet0/0/0/2],regiona-ce01[Ethernet1]
