,Interface,Access_VLAN,Allowed_VLANs,Channel_Group,Channel_Group_Members,Description,Primary_Address,Switchport,Switchport_Mode,VRF
0,regiona-acc01[Ethernet1],1,,Port-Channel1,[],,,True,ACCESS,default
1,regiona-acc01[Ethernet2],1,,Port-Channel1,[],,,True,ACCESS,default
2,regiona-acc01[Ethernet3],1,,Port-Channel2,[],,,True,ACCESS,default
3,regiona-acc01[Ethernet4],1,,Port-Channel2,[],,,True,ACCESS,default
4,regiona-acc01[Ethernet5],1,,Port-Channel3,[],,,True,ACCESS,default
5,regiona-acc01[Ethernet6],1,,Port-Channel3,[],,,True,ACCESS,default
6,regiona-acc01[Ethernet7],1,,Port-Channel4,[],,,True,ACCESS,default
7,regiona-acc01[Ethernet8],1,,Port-Channel4,[],,,True,ACCESS,default
8,regiona-acc01[Ethernet9],10,,,[],,,True,ACCESS,default
9,regiona-acc01[Ethernet10],110,,,[],,,True,ACCESS,default
10,regiona-acc01[Ethernet11],10,,,[],,,True,ACCESS,default
11,regiona-acc01[Ethernet12],110,,,[],,,True,ACCESS,default
12,regiona-acc01[Ethernet13],1,,,[],,,True,ACCESS,default
13,regiona-acc01[Ethernet14],1,,,[],,,True,ACCESS,default
14,regiona-acc01[Ethernet15],1,,,[],,,True,ACCESS,default
15,regiona-acc01[Ethernet16],1,,,[],,,True,ACCESS,default
16,regiona-acc01[Ethernet17],1,,,[],,,True,ACCESS,default
17,regiona-acc01[Ethernet18],1,,,[],,,True,ACCESS,default
18,regiona-acc01[Ethernet19],1,,,[],,,True,ACCESS,default
19,regiona-acc01[Management1],,,,[],,10.0.0.15/24,False,NONE,default
20,regiona-acc01[Port-Channel1],,"10,110",,"['Ethernet1', 'Ethernet2']",,,True,TRUNK,default
21,regiona-acc01[Port-Channel2],,"10,110",,"['Ethernet3', 'Ethernet4']",,,True,TRUNK,default
22,regiona-acc01[Port-Channel3],,"20,120",,"['Ethernet5', 'Ethernet6']",,,True,TRUNK,default
23,regiona-acc01[Port-Channel4],,"20,120",,"['Ethernet7', 'Ethernet8']",,,True,TRUNK,default
24,regiona-ce01[Ethernet1],,,,[],,172.16.1.2/30,False,NONE,default
25,regiona-ce01[Ethernet2],,,,[],,172.16.3.2/30,False,NONE,default
26,regiona-ce01[Ethernet3],1,,Port-Channel1,[],,,True,ACCESS,default
27,regiona-ce01[Ethernet4],1,,Port-Channel1,[],,,True,ACCESS,default
28,regiona-ce01[Ethernet5],,"10,110",Port-Channel2,[],,,True,TRUNK,default
29,regiona-ce01[Ethernet6],,"10,110",Port-Channel2,[],,,True,TRUNK,default
30,regiona-ce01[Ethernet7],,"20,120",Port-Channel3,[],,,True,TRUNK,default
31,regiona-ce01[Ethernet8],,"20,120",Port-Channel3,[],,,True,TRUNK,default
32,regiona-ce01[Ethernet9],1,,,[],,,True,ACCESS,default
33,regiona-ce01[Ethernet10],1,,,[],,,True,ACCESS,default
34,regiona-ce01[Ethernet11],1,,,[],,,True,ACCESS,default
35,regiona-ce01[Ethernet12],1,,,[],,,True,ACCESS,default
36,regiona-ce01[Ethernet13],1,,,[],,,True,ACCESS,default
37,regiona-ce01[Ethernet14],1,,,[],,,True,ACCESS,default
38,regiona-ce01[Ethernet15],1,,,[],,,True,ACCESS,default
39,regiona-ce01[Ethernet16],1,,,[],,,True,ACCESS,default
40,regiona-ce01[Ethernet17],1,,,[],,,True,ACCESS,default
41,regiona-ce01[Ethernet18],1,,,[],,,True,ACCESS,default
42,regiona-ce01[Ethernet19],1,,,[],,,True,ACCESS,default
43,regiona-ce01[Management1],,,,[],,10.0.0.15/24,False,NONE,default
44,regiona-ce01[Port-Channel1],,,,"['Ethernet3', 'Ethernet4']",,172.16.5.1/30,False,NONE,default
45,regiona-ce01[Port-Channel2],,"10,110",,"['Ethernet5', 'Ethernet6']",,,True,TRUNK,default
46,regiona-ce01[Port-Channel3],,"20,120",,"['Ethernet7', 'Ethernet8']",,,True,TRUNK,default
47,regiona-ce01[Vlan10],,,,[],,172.30.10.1/24,False,NONE,default
48,regiona-ce01[Vlan20],,,,[],,172.30.20.1/24,False,NONE,default
49,regiona-ce01[Vlan110],,,,[],,172.30.110.1/24,False,NONE,vrf1
50,regiona-ce01[Vlan120],,,,[],,172.30.120.1/24,False,NONE,vrf1
51,regiona-ce02[Ethernet1],,,,[],,172.16.2.2/30,False,NONE,default
52,regiona-ce02[Ethernet2],,,,[],,172.16.4.2/30,False,NONE,default
53,regiona-ce02[Ethernet3],1,,Port-Channel1,[],,,True,ACCESS,default
54,regiona-ce02[Ethernet4],1,,Port-Channel1,[],,,True,ACCESS,default
55,regiona-ce02[Ethernet5],,"10,110",Port-Channel2,[],,,True,TRUNK,default
56,regiona-ce02[Ethernet6],,"10,110",Port-Channel2,[],,,True,TRUNK,default
57,regiona-ce02[Ethernet7],,"20,120",Port-Channel3,[],,,True,TRUNK,default
58,regiona-ce02[Ethernet8],,"20,120",Port-Channel3,[],,,True,TRUNK,default
59,regiona-ce02[Ethernet9],1,,,[],,,True,ACCESS,default
60,regiona-ce02[Ethernet10],1,,,[],,,True,ACCESS,default
61,regiona-ce02[Ethernet11],1,,,[],,,True,ACCESS,default
62,regiona-ce02[Ethernet12],1,,,[],,,True,ACCESS,default
63,regiona-ce02[Ethernet13],1,,,[],,,True,ACCESS,default
64,regiona-ce02[Ethernet14],1,,,[],,,True,ACCESS,default
65,regiona-ce02[Ethernet15],1,,,[],,,True,ACCESS,default
66,regiona-ce02[Ethernet16],1,,,[],,,True,ACCESS,default
67,regiona-ce02[Ethernet17],1,,,[],,,True,ACCESS,default
68,regiona-ce02[Ethernet18],1,,,[],,,True,ACCESS,default
69,regiona-ce02[Ethernet19],1,,,[],,,True,ACCESS,default
70,regiona-ce02[Management1],,,,[],,10.0.0.15/24,False,NONE,default
71,regiona-ce02[Port-Channel1],,,,"['Ethernet3', 'Ethernet4']",,172.16.5.2/30,False,NONE,default
72,regiona-ce02[Port-Channel2],,"10,110",,"['Ethernet5', 'Ethernet6']",,,True,TRUNK,default
73,regiona-ce02[Port-Channel3],,"20,120",,"['Ethernet7', 'Ethernet8']",,,True,TRUNK,default
74,regiona-ce02[Vlan10],,,,[],,172.30.10.2/24,False,NONE,default
