,Node,VRF,Interface,IP,Mask,Active
0,regionb-ce01,default,ge-0/0/1.0,172.17.3.2,30,True
1,regionb-ce02,default,ge-0/0/0.0,172.17.2.2,30,True
2,regiona-pe02,default,GigabitEthernet0/0/0/0,10.1.1.1,30,True
3,regiona-svr01,default,Ethernet1,172.30.10.100,24,True
4,regionb-pe02,default,fxp0.0,10.0.0.15,24,False
5,regiona-svr02,default,Ethernet1,172.30.10.101,24,True
6,regiona-svr02,default,Ethernet2,172.30.110.101,24,True
7,regionb-pe01,default,fxp0.0,10.0.0.15,24,False
8,regionb-pe01,default,ge-0/0/3.0,172.17.2.1,30,True
9,regiona-ce02,default,Management1,10.0.0.15,24,False
10,regionb-ce01,default,ae0.0,172.17.5.1,30,True
11,regionb-pe02,default,ge-0/0/3.0,172.17.4.1,30,True
12,regionb-ce02,default,ae0.0,172.17.5.2,30,True
13,regionb-pe02,default,ge-0/0/1.0,172.17.0.2,30,True
14,regiona-ce01,vrf1,Vlan110,172.30.110.1,24,True
15,regiona-ce02,default,Port-Channel1,172.16.5.2,30,True
16,regionb-ce02,default,ae2.1020,172.31.20.2,24,True
17,regiona-ce02,vrf1,Vlan120,172.30.120.2,24,True
18,regionb-svc01,default,Ethernet1,172.31.10.100,24,True
19,regionb-svc02,default,Ethernet2,172.31.120.100,24,True
20,regionb-ce01,default,fxp0.0,10.0.0.15,24,False
21,regiona-ce01,default,Ethernet2,172.16.3.2,30,True
22,regiona-pe02,default,MgmtEth0/0/CPU0/0,10.0.0.15,24,False
23,regionb-ce02,default,fxp0.0,10.0.0.15,24,False
24,regiona-ce02,default,Ethernet2,172.16.4.2,30,True
25,regiona-acc01,default,Management1,10.0.0.15,24,False
26,regiona-pe01,default,MgmtEth0/0/CPU0/0,10.0.0.15,24,False
27,regiona-ce02,default,Vlan10,172.30.10.2,24,True
28,regionb-svc02,default,Ethernet1,172.31.20.100,24,True
29,regionb-pe01,default,ge-0/0/0.0,10.1.0.2,30,True
30,regiona-ce01,default,Vlan20,172.30.20.1,24,True
31,regionb-ce01,default,ae2.1020,172.31.20.1,24,True
32,regiona-pe01,default,GigabitEthernet0/0/0/2,172.16.1.1,30,True
33,regiona-pe02,default,GigabitEthernet0/0/0/2,172.16.3.1,30,True
34,regiona-ce01,default,Ethernet1,172.16.1.2,30,True
35,regionb-svc01,default,Ethernet2,172.31.110.100,24,True
36,regiona-ce02,default,Ethernet1,172.16.2.2,30,True
37,regionb-ce01,default,ae1.1010,172.31.10.1,24,True
38,regiona-svr01,default,Management1,10.0.0.15,24,False
39,regionb-ce02,default,ae1.1010,172.31.10.2,24,True
40,regiona-svr02,default,Management1,10.0.0.15,24,False
41,regionb-ce01,VR1,ae1.1110,172.31.110.1,24,True
42,regionb-ce02,default,ge-0/0/1.0,172.17.4.2,30,True
43,regionb-acc02,default,Management1,10.0.0.15,24,False
44,regiona-pe02,default,GigabitEthernet0/0/0/3,172.16.4.1,30,True
45,regiona-ce01,default,Management1,10.0.0.15,24,False
46,regionb-acc01,default,Management1,10.0.0.15,24,False
47,regionb-ce01,default,ge-0/0/0.0,172.17.1.2,30,True
48,regiona-pe01,default,GigabitEthernet0/0/0/0,10.1.0.1,30,True
49,regionb-ce02,VR1,ae1.1110,172.31.110.2,24,True
50,regiona-ce01,default,Port-Channel1,172.16.5.1,30,True
51,regionb-pe01,default,ge-0/0/2.0,172.17.1.1,30,True
52,regionb-svc02,default,Management1,10.0.0.15,24,False
53,regionb-pe01,default,ge-0/0/1.0,172.17.0.1,30,True
54,regiona-ce01,vrf1,Vlan120,172.30.120.1,24,True
55,regiona-ce02,vrf1,Vlan110,172.30.110.2,24,True
56,regionb-pe02,default,ge-0/0/2.0,172.17.3.1,30,True
57,regiona-svr01,default,Ethernet2,172.30.110.100,24,True
58,regiona-pe02,default,Loopback0,1.1.1.2,32,True
59,regionb-svc01,default,Management1,10.0.0.15,24,False
60,regionb-pe02,default,ge-0/0/0.0,10.1.1.2,30,True
61,regiona-ce01,default,Vlan10,172.30.10.1,24,True
62,regiona-ce02,default,Vlan20,172.30.20.2,24,True
63,regiona-pe01,default,Loopback0,1.1.1.1,32,True
64,regionb-ce02,VR1,ae2.1120,172.31.120.2,24,True
65,regionb-ce01,VR1,ae2.1120,172.31.120.1,24,True
66,regiona-pe02,default,GigabitEthernet0/0/0/1,172.16.0.2,30,True
67,regiona-pe01,default,GigabitEthernet0/0/0/1,172.16.0.1,30,True
68,regiona-pe01,default,GigabitEthernet0/0/0/3,172.16.2.1,30,True
