,Node,VLAN_ID,Interfaces,VXLAN_VNI
0,regionb-acc01,1,"[regionb-acc01[Ethernet1], regionb-acc01[Ethernet2], regionb-acc01[Ethernet3], regionb-acc01[Ethernet4], regionb-acc01[Ethernet7], regionb-acc01[Ethernet8], regionb-acc01[Ethernet9], regionb-acc01[Ethernet10], regionb-acc01[Ethernet11], regionb-acc01[Ethernet12], regionb-acc01[Ethernet13], regionb-acc01[Ethernet14], regionb-acc01[Ethernet15], regionb-acc01[Ethernet16], regionb-acc01[Ethernet17], regionb-acc01[Ethernet18], regionb-acc01[Ethernet19]]",
1,regiona-ce02,1,"[regiona-ce02[Ethernet3], regiona-ce02[Ethernet4], regiona-ce02[Ethernet9], regiona-ce02[Ethernet10], regiona-ce02[Ethernet11], regiona-ce02[Ethernet12], regiona-ce02[Ethernet13], regiona-ce02[Ethernet14], regiona-ce02[Ethernet15], regiona-ce02[Ethernet16], regiona-ce02[Ethernet17], regiona-ce02[Ethernet18], regiona-ce02[Ethernet19]]",
2,regiona-acc01,110,"[regiona-acc01[Ethernet10], regiona-acc01[Ethernet12], regiona-acc01[Port-Channel1], regiona-acc01[Port-Channel2]]",
3,regionb-svc01,1,"[regionb-svc01[Ethernet3], regionb-svc01[Ethernet4], regionb-svc01[Ethernet5], regionb-svc01[Ethernet6], regionb-svc01[Ethernet7], regionb-svc01[Ethernet8], regionb-svc01[Ethernet9], regionb-svc01[Ethernet10], regionb-svc01[Ethernet11], regionb-svc01[Ethernet12], regionb-svc01[Ethernet13], regionb-svc01[Ethernet14], regionb-svc01[Ethernet15], regionb-svc01[Ethernet16], regionb-svc01[Ethernet17], regionb-svc01[Ethernet18], regionb-svc01[Ethernet19]]",
4,regiona-ce01,10,"[regiona-ce01[Ethernet5], regiona-ce01[Ethernet6], regiona-ce01[Port-Channel2], regiona-ce01[Vlan10]]",
5,regionb-acc01,1010,"[regionb-acc01[Ethernet5], regionb-acc01[Port-Channel1], regionb-acc01[Port-Channel2]]",
6,regiona-acc01,120,"[regiona-acc01[Port-Channel3], regiona-acc01[Port-Channel4]]",
7,regiona-ce02,10,"[regiona-ce02[Ethernet5], regiona-ce02[Ethernet6], regiona-ce02[Port-Channel2], regiona-ce02[Vlan10]]",
8,regiona-acc01,1,"[regiona-acc01[Ethernet1], regiona-acc01[Ethernet2], regiona-acc01[Ethernet3], regiona-acc01[Ethernet4], regiona-acc01[Ethernet5], regiona-acc01[Ethernet6], regiona-acc01[Ethernet7], regiona-acc01[Ethernet8], regiona-acc01[Ethernet13], regiona-acc01[Ethernet14], regiona-acc01[Ethernet15], regiona-acc01[Ethernet16], regiona-acc01[Ethernet17], regiona-acc01[Ethernet18], regiona-acc01[Ethernet19]]",
9,regiona-ce01,20,"[regiona-ce01[Ethernet7], regiona-ce01[Ethernet8], regiona-ce01[Port-Channel3], regiona-ce01[Vlan20]]",
10,regiona-ce01,110,"[regiona-ce01[Ethernet5], regiona-ce01[Ethernet6], regiona-ce01[Port-Channel2], regiona-ce01[Vlan110]]",
