,Interface,IPs,Remote_Interface,Remote_IPs
0,host21[eth0],['192.168.2.101'],host23[eth0],['192.168.2.103']
1,host21[eth0],['192.168.2.101'],host24[eth0],['192.168.2.104']
2,host24[eth0],['192.168.2.104'],host23[eth0],['192.168.2.103']
3,switch1[Vlan100],['192.168.1.2'],switch2[Vlan100],['192.168.1.3']
4,host21[eth0],['192.168.2.101'],host22[eth0],['192.168.2.102']
5,switch1[Vlan100],['192.168.1.2'],host13[eth0],['192.168.1.103']
6,host14[eth0],['192.168.1.104'],switch1[Vlan100],['192.168.1.2']
7,host11[eth0],['192.168.1.101'],host12[eth0],['192.168.1.102']
8,host12[eth0],['192.168.1.102'],host13[eth0],['192.168.1.103']
9,host14[eth0],['192.168.1.104'],switch2[Vlan100],['192.168.1.3']
10,host11[eth0],['192.168.1.101'],host13[eth0],['192.168.1.103']
11,host14[eth0],['192.168.1.104'],host12[eth0],['192.168.1.102']
12,host12[eth0],['192.168.1.102'],switch1[Vlan100],['192.168.1.2']
13,host14[eth0],['192.168.1.104'],host13[eth0],['192.168.1.103']
14,host11[eth0],['192.168.1.101'],switch1[Vlan100],['192.168.1.2']
15,host12[eth0],['192.168.1.102'],switch2[Vlan100],['192.168.1.3']
16,host12[eth0],['192.168.1.102'],host14[eth0],['192.168.1.104']
17,host11[eth0],['192.168.1.101'],switch2[Vlan100],['192.168.1.3']
18,host11[eth0],['192.168.1.101'],host14[eth0],['192.168.1.104']
19,host12[eth0],['192.168.1.102'],host11[eth0],['192.168.1.101']
20,host13[eth0],['192.168.1.103'],host11[eth0],['192.168.1.101']
21,host13[eth0],['192.168.1.103'],host12[eth0],['192.168.1.102']
22,host14[eth0],['192.168.1.104'],host11[eth0],['192.168.1.101']
23,host13[eth0],['192.168.1.103'],switch1[Vlan100],['192.168.1.2']
24,host23[eth0],['192.168.2.103'],host21[eth0],['192.168.2.101']
25,host13[eth0],['192.168.1.103'],switch2[Vlan100],['192.168.1.3']
26,host13[eth0],['192.168.1.103'],host14[eth0],['192.168.1.104']
27,switch1[Vlan100],['192.168.1.2'],host12[eth0],['192.168.1.102']
28,switch2[Vlan100],['192.168.1.3'],host13[eth0],['192.168.1.103']
29,host23[eth0],['192.168.2.103'],host24[eth0],['192.168.2.104']
30,switch1[Vlan100],['192.168.1.2'],host11[eth0],['192.168.1.101']
31,switch2[Vlan100],['192.168.1.3'],host12[eth0],['192.168.1.102']
32,switch1[Vlan100],['192.168.1.2'],host14[eth0],['192.168.1.104']
33,switch2[Vlan100],['192.168.1.3'],host11[eth0],['192.168.1.101']
34,host22[eth0],['192.168.2.102'],host21[eth0],['192.168.2.101']
35,host23[eth0],['192.168.2.103'],host22[eth0],['192.168.2.102']
36,switch2[Vlan100],['192.168.1.3'],host14[eth0],['192.168.1.104']
37,host24[eth0],['192.168.2.104'],host22[eth0],['192.168.2.102']
38,switch2[Vlan100],['192.168.1.3'],switch1[Vlan100],['192.168.1.2']
39,host22[eth0],['192.168.2.102'],host23[eth0],['192.168.2.103']
40,host22[eth0],['192.168.2.102'],host24[eth0],['192.168.2.104']
41,host24[eth0],['192.168.2.104'],host21[eth0],['192.168.2.101']
