,Interface,Access_VLAN,Allowed_VLANs,Channel_Group,Channel_Group_Members,Description,Primary_Address,Switchport,Switchport_Mode,Switchport_Trunk_Encapsulation,VRF
0,regiona-acc01[Ethernet1],1,,Port-Channel1,[],to_RegionA-CE01_Ethernet5,,True,ACCESS,DOT1Q,default
1,regiona-acc01[Ethernet2],1,,Port-Channel1,[],to_RegionA-CE01_Ethernet6,,True,ACCESS,DOT1Q,default
2,regiona-acc01[Ethernet3],1,,Port-Channel2,[],to_RegionA-CE02_Ethernet5,,True,ACCESS,DOT1Q,default
3,regiona-acc01[Ethernet4],1,,Port-Channel2,[],to_RegionA-CE02_Ethernet6,,True,ACCESS,DOT1Q,default
4,regiona-acc01[Ethernet5],1,,Port-Channel3,[],to_RegionA-CE01_Ethernet7,,True,ACCESS,DOT1Q,default
5,regiona-acc01[Ethernet6],1,,Port-Channel3,[],to_RegionA-CE01_Ethernet8,,True,ACCESS,DOT1Q,default
6,regiona-acc01[Ethernet7],1,,Port-Channel4,[],to_RegionA-CE02_Ethernet7,,True,ACCESS,DOT1Q,default
7,regiona-acc01[Ethernet8],1,,Port-Channel4,[],to_RegionA-CE02_Ethernet8,,True,ACCESS,DOT1Q,default
8,regiona-acc01[Ethernet9],10,,,[],to_RegionA-Svr01_enp1s4,,True,ACCESS,DOT1Q,default
9,regiona-acc01[Ethernet10],110,,,[],to_RegionA-Svr01_enp1s5,,True,ACCESS,DOT1Q,default
10,regiona-acc01[Ethernet11],10,,,[],to_RegionA-Svr02_enp1s4,,True,ACCESS,DOT1Q,default
11,regiona-acc01[Ethernet12],110,,,[],to_RegionA-Svr02_enp1s5,,True,ACCESS,DOT1Q,default
12,regiona-acc01[Ethernet13],1,,,[],,,True,ACCESS,DOT1Q,default
13,regiona-acc01[Ethernet14],1,,,[],,,True,ACCESS,DOT1Q,default
14,regiona-acc01[Ethernet15],1,,,[],,,True,ACCESS,DOT1Q,default
15,regiona-acc01[Ethernet16],1,,,[],,,True,ACCESS,DOT1Q,default
16,regiona-acc01[Ethernet17],1,,,[],,,True,ACCESS,DOT1Q,default
17,regiona-acc01[Ethernet18],1,,,[],,,True,ACCESS,DOT1Q,default
18,regiona-acc01[Ethernet19],1,,,[],,,True,ACCESS,DOT1Q,default
19,regiona-acc01[Management1],,,,[],,10.0.0.15/24,False,NONE,DOT1Q,default
20,regiona-acc01[Port-Channel1],,"10,110",,"['Ethernet1', 'Ethernet2']",,,True,TRUNK,DOT1Q,default
21,regiona-acc01[Port-Channel2],,"10,110",,"['Ethernet3', 'Ethernet4']",,,True,TRUNK,DOT1Q,default
22,regiona-acc01[Port-Channel3],,"20,120",,"['Ethernet5', 'Ethernet6']",,,True,TRUNK,DOT1Q,default
23,regiona-acc01[Port-Channel4],,"20,120",,"['Ethernet7', 'Ethernet8']",,,True,TRUNK,DOT1Q,default
24,regiona-ce01[Ethernet1],,,,[],to_RegionA-PE01_ge-0/0/2,172.16.1.2/30,False,NONE,DOT1Q,default
25,regiona-ce01[Ethernet2],1,,,[],,,True,ACCESS,DOT1Q,default
26,regiona-ce01[Ethernet3],1,,Port-Channel1,[],to_RegionA-CE02_Ethernet3,,True,ACCESS,DOT1Q,default
27,regiona-ce01[Ethernet4],1,,Port-Channel1,[],to_RegionA-CE02_Ethernet4,,True,ACCESS,DOT1Q,default
28,regiona-ce01[Ethernet5],,"10,110",Port-Channel2,[],to_RegionA-Acc01_Ethernet1,,True,TRUNK,DOT1Q,default
29,regiona-ce01[Ethernet6],,"10,110",Port-Channel2,[],to_RegionA-Acc01_Ethernet2,,True,TRUNK,DOT1Q,default
30,regiona-ce01[Ethernet7],,"20,120",Port-Channel3,[],to_RegionA-Acc01_Ethernet5,,True,TRUNK,DOT1Q,default
31,regiona-ce01[Ethernet8],,"20,120",Port-Channel3,[],to_RegionA-Acc01_Ethernet6,,True,TRUNK,DOT1Q,default
32,regiona-ce01[Ethernet9],1,,,[],,,True,ACCESS,DOT1Q,default
33,regiona-ce01[Ethernet10],1,,,[],,,True,ACCESS,DOT1Q,default
34,regiona-ce01[Ethernet11],1,,,[],,,True,ACCESS,DOT1Q,default
35,regiona-ce01[Ethernet12],1,,,[],,,True,ACCESS,DOT1Q,default
36,regiona-ce01[Ethernet13],1,,,[],,,True,ACCESS,DOT1Q,default
37,regiona-ce01[Ethernet14],1,,,[],,,True,ACCESS,DOT1Q,default
38,regiona-ce01[Ethernet15],1,,,[],,,True,ACCESS,DOT1Q,default
39,regiona-ce01[Ethernet16],1,,,[],,,True,ACCESS,DOT1Q,default
40,regiona-ce01[Ethernet17],1,,,[],,,True,ACCESS,DOT1Q,default
41,regiona-ce01[Ethernet18],1,,,[],,,True,ACCESS,DOT1Q,default
42,regiona-ce01[Ethernet19],1,,,[],,,True,ACCESS,DOT1Q,default
43,regiona-ce01[Management1],,,,[],,10.0.0.15/24,False,NONE,DOT1Q,default
44,regiona-ce01[Port-Channel1],,,,"['Ethernet3', 'Ethernet4']",,172.16.5.1/30,False,NONE,DOT1Q,default
45,regiona-ce01[Port-Channel2],,"10,110",,"['Ethernet5', 'Ethernet6']",,,True,TRUNK,DOT1Q,default
46,regiona-ce01[Port-Channel3],,"20,120",,"['Ethernet7', 'Ethernet8']",,,True,TRUNK,DOT1Q,default
47,regiona-ce01[Vlan10],,,,[],,172.30.10.1/24,False,NONE,DOT1Q,default
48,regiona-ce01[Vlan20],,,,[],,172.30.20.1/24,False,NONE,DOT1Q,default
