,Node,VLAN_ID,Interfaces,VXLAN_VNI
0,regiona-acc01,20,"[regiona-acc01[Port-Channel3], regiona-acc01[Port-Channel4]]",
1,regiona-acc01,10,"[regiona-acc01[Ethernet9], regiona-acc01[Ethernet11], regiona-acc01[Port-Channel1], regiona-acc01[Port-Channel2]]",
2,regionb-acc01,1,"[regionb-acc01[Ethernet1], regionb-acc01[Ethernet2], regionb-acc01[Ethernet3], regionb-acc01[Ethernet4], regionb-acc01[Ethernet7], regionb-acc01[Ethernet8], regionb-acc01[Ethernet9], regionb-acc01[Ethernet10], regionb-acc01[Ethernet11], regionb-acc01[Ethernet12], regionb-acc01[Ethernet13], regionb-acc01[Ethernet14], regionb-acc01[Ethernet15], regionb-acc01[Ethernet16], regionb-acc01[Ethernet17], regionb-acc01[Ethernet18], regionb-acc01[Ethernet19]]",
3,regiona-acc01,110,"[regiona-acc01[Ethernet10], regiona-acc01[Ethernet12], regiona-acc01[Port-Channel1], regiona-acc01[Port-Channel2]]",
4,regionb-acc01,1010,"[regionb-acc01[Ethernet5], regionb-acc01[Port-Channel1], regionb-acc01[Port-Channel2]]",
5,regionb-acc01,1110,"[regionb-acc01[Ethernet6], regionb-acc01[Port-Channel1], regionb-acc01[Port-Channel2]]",
6,regionb-acc02,1120,"[regionb-acc02[Ethernet6], regionb-acc02[Port-Channel1], regionb-acc02[Port-Channel2]]",
7,regionb-acc02,1,"[regionb-acc02[Ethernet1], regionb-acc02[Ethernet2], regionb-acc02[Ethernet3], regionb-acc02[Ethernet4], regionb-acc02[Ethernet7], regionb-acc02[Ethernet8], regionb-acc02[Ethernet9], regionb-acc02[Ethernet10], regionb-acc02[Ethernet11], regionb-acc02[Ethernet12], regionb-acc02[Ethernet13], regionb-acc02[Ethernet14], regionb-acc02[Ethernet15], regionb-acc02[Ethernet16], regionb-acc02[Ethernet17], regionb-acc02[Ethernet18], regionb-acc02[Ethernet19]]",
8,regiona-acc01,120,"[regiona-acc01[Port-Channel3], regiona-acc01[Port-Channel4]]",
9,regionb-acc02,1020,"[regionb-acc02[Ethernet5], regionb-acc02[Port-Channel1], regionb-acc02[Port-Channel2]]",
10,regiona-acc01,1,"[regiona-acc01[Ethernet1], regiona-acc01[Ethernet2], regiona-acc01[Ethernet3], regiona-acc01[Ethernet4], regiona-acc01[Ethernet5], regiona-acc01[Ethernet6], regiona-acc01[Ethernet7], regiona-acc01[Ethernet8], regiona-acc01[Ethernet13], regiona-acc01[Ethernet14], regiona-acc01[Ethernet15], regiona-acc01[Ethernet16], regiona-acc01[Ethernet17], regiona-acc01[Ethernet18], regiona-acc01[Ethernet19]]",
